step-1	am	is	are								い
	am	is	are	not							くない
	was	was	were								かった
	was	was	were	not							くなかった
	get	gets	get								くなる
	do	does	do	not	get						くならない
	got	got	got								くなった
	did	did	did	not	get						くならなかった
	am	is	are		getting						くなってきている
	am	is	are	not	getting						くなってきていない
	was	was	were		getting						くなってきていた
	was	was	were	not	getting						くなってきていなかった
step-2	am	is	are	going to	be						くしている予定（よてい）だ
	am	is	are	not going to	be						くしている予定（よてい）ではない
	am	is	are	going to	get						くなる予定（よてい）だ
	am	is	are	not going to	get						くなる予定（よてい）ではない
	was	was	were	going to	be						くしている予定（よてい）だった
	was	was	were	not going to	be						くしている予定（よてい）ではなかった
	was	was	were	going to	get						くなる予定（よてい）だった
	was	was	were	not going to	get						くなる予定（よてい）ではなかった
	am	is	are	able to	get						くなることができる
	am	is	are	not able to	get						くなることはできない
	was	was	were	able to	get						くなることができた
	was	was	were	not able to	get						くなることはできなかった
				could not	get						くなることはできなかった
	am	is	are	supposed to	get						くなることになっている
	am	is	are	not supposed to	get						くなってはいけない
	was	was	were	supposed to	get						くなることになっていた
	was	was	were	not supposed to	get						くなってはいけなかった
	want	wants	want	to	be						くしていたい
	do not want	does not want	do not want	to	be						くしていたくない
	wanted	wanted	wanted	to	be						くしていたかった
	did not want	did not want	did not want	to	be						くしていたくなかった
	want	wants	want	to	get						くなりたい
	do not want	does not want	do not want	to	get						くなりたくない
	wanted	wanted	wanted	to	get						くなりたかった
	did not want	did not want	did not want	to	get						くなりたくなかった
	have	has	have	to	be						くしていなければいけない
	do not have	does not have	do not have	to	be						くしていなくてもいい
	had	had	had	to	be						くしていなければいけなかった
	did not have	did not have	did not have	to	be						くしていなくてもよかった
	have	has	have	to	get						くならなければいけない
	do not have	does not have	do not have	to	get						くならなくてもいい
	had	had	had	to	get						くならなければいけなかった
	did not have	did not have	did not have	to	get						くならなくてもよかった
step-3	will	will	will		be						いだろう
	will	will	will	not	be						くないだろう
	will	will	will		get						くなるだろう
	will	will	will	not	get						くならないだろう
	will	will	will	be able to	get						くなることができるだろう
	will	will	will	not be able to	get						くなることはできないだろう
	may	may	may		be						いかもしれない
	may	may	may	not	be						くないかもしれない
	may	may	may		get						くなるかもしれない
	may	may	may	not	get						くならないかもしれない
	may	may	may	be able to	get						くなることができるかもしれない
	may	may	may	not be able to	get						くなることはできないかもしれない
	can	can	can		be						い可能性（かのうせい）がある
	can	can	can	not	be						い可能性（かのうせい）はない
	can	can	can		get						くなることができる
	can	can	can	not	get						くなることはできない
	should	should	should		be						いほうがいい
	should	should	should	not	be						くないほうがいい
	should	should	should		get						くなるほうがいい
