step-1	go shopping	goes shopping	go shopping			in			での	買（か）い物（もの）に行（い）	く
	do	does	do	not	go shopping	in			での	買（か）い物（もの）に行（い）	か	ない
	went shopping	went shopping	went shopping			in			での	買（か）い物（もの）に行（い）	っ	た
	did	did	did	not	go shopping	in			での	買（か）い物（もの）に行（い）	か	なかった
	am	is	are		going shopping	in			での	買（か）い物（もの）に行（い）	っ	ている
	am	is	are	not	going shopping	in			での	買（か）い物（もの）に行（い）	っ	ていない
	was	was	were		going shopping	in			での	買（か）い物（もの）に行（い）	っ	ていた
	was	was	were	not	going shopping	in			での	買（か）い物（もの）に行（い）	っ	ていなかった
step-2	am	is	are	going to	go shopping	in			での	買（か）い物（もの）に行（い）	く	予定（よてい）だ
	am	is	are	not going to	go shopping	in			での	買（か）い物（もの）に行（い）	く	予定（よてい）ではない
	was	was	were	going to	go shopping	in			での	買（か）い物（もの）に行（い）	く	予定（よてい）だった
	was	was	were	not going to	go shopping	in			での	買（か）い物（もの）に行（い）	く	予定（よてい）ではなかった
	am	is	are	able to	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことができる
	am	is	are	not able to	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことはできない
	was	was	were	able to	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことができた
	was	was	were	not able to	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことはできなかった
	could	could	could	not	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことはできなかった
	want	wants	want	to	go shopping	in			での	買（か）い物（もの）に行（い）	き	たい
	do	does	do	not want to	go shopping	in			での	買（か）い物（もの）に行（い）	き	たくない
	wanted  	wanted  	wanted	to	go shopping	in			での	買（か）い物（もの）に行（い）	き	たかった
	did	did	did	not want to	go shopping	in			での	買（か）い物（もの）に行（い）	き	たくなかった
	want	wants	want	to be	going shopping	in			での	買（か）い物（もの）に行（い）	っ	ていたい
	do	does	do	not want to be	going shopping	in			での	買（か）い物（もの）に行（い）	っ	ていたくない
	wanted  	wanted  	wanted	to be	going shopping	in			での	買（か）い物（もの）に行（い）	っ	ていたかった
	did	did	did	not want to be	going shopping	in			での	買（か）い物（もの）に行（い）	っ	ていたくなかった
	want	wants	want	to be able to	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことができるようになりたい
	do	does	do	not want to be able to	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことができるようになりたかった
	did	did	did	not want to be able to	go shopping	in			での	買（か）い物（もの）に行（い）	く	ことはできるようになりたくなかった
	have to	has to	have to		go shopping	in			での	買（か）い物（もの）に行（い）	か	なければいけない
