step-1	am	is	are								んでいる
	am	is	are	not							んでいない
	was	was	were								んでいた
	was	was	were	not							んでいなかった
	get	gets	get								む
	do	does	do	not	get						まない
	got	got	got								んだ
	did	did	did	not	get						まなかった
	am	is	are		getting						んできている
	am	is	are	not	getting						んできていない
	was	was	were		getting						んできていた
	was	was	were	not	getting						んできていなかった
step-2	am	is	are	going to	be						んでいる予定（よてい）だ
	am	is	are	not going to	be						んでいる予定（よてい）ではない
	am	is	are	going to	get						む予定（よてい）だ
	am	is	are	not going to	get						む予定（よてい）ではない
	was	was	were	going to	be						んでいる予定（よてい）だった
	was	was	were	not going to	be						んでいる予定（よてい）ではなかった
	was	was	were	going to	get						む予定（よてい）だった
	was	was	were	not going to	get						む予定（よてい）ではなかった
	am	is	are	able to	get						むことができる
	am	is	are	not able to	get						むことはできない
	was	was	were	able to	get						むことができた
	was	was	were	not able to	get						むことはできなかった
				could not	get						むことはできなかった
	am	is	are	supposed to	get						むことになっている
	am	is	are	not supposed to	get						んではいけない
	was	was	were	supposed to	get						むことになっていた
	was	was	were	not supposed to	get						んではいけなかった
	want	wants	want	to	be						んでいたい
	do not want	does not want	do not want	to	be						んでいたくない
	wanted	wanted	wanted	to	be						んでいたかった
	did not want	did not want	did not want	to	be						んでいたくなかった
	want	wants	want	to	get						みたい
	do not want	does not want	do not want	to	get						みたくない
	wanted	wanted	wanted	to	get						みたかった
	did not want	did not want	did not want	to	get						みたくなかった
	have	has	have	to	be						んでいなければいけない
	do not have	does not have	do not have	to	be						んでいなくてもいい
	had	had	had	to	be						んでいなければいけなかった
	did not have	did not have	did not have	to	be						んでいなくてもよかった
	have	has	have	to	get						まなければいけない
	do not have	does not have	do not have	to	get						まなくてもいい
	had	had	had	to	get						まなければいけなかった
	did not have	did not have	did not have	to	get						まなくてもよかった
step-3	will	will	will		be						んでいるだろう
	will	will	will	not	be						んでいないだろう
	will	will	will		get						むだろう
	will	will	will	not	get						まないだろう
	will	will	will	be able to	get						むことができるだろう
	will	will	will	not be able to	get						むことはできないだろう
	may	may	may		be						んでいるかもしれない
	may	may	may	not	be						んでいないかもしれない
	may	may	may		get						むかもしれない
	may	may	may	not	get						まないかもしれない
	may	may	may	be able to	get						むことができるかもしれない
	may	may	may	not be able to	get						むことができないかもしれない
	can	can	can		be						んでいる可能性（かのうせい）がある
	can	can	can	not	be						んでいる可能性（かのうせい）はない
	can	can	can		get						むことができる
	can	can	can	not	get						むことはできない
	should	should	should		be						んでいるほうがいい
