step-1	am	is	are								いている
	am	is	are	not							いていない
	was	was	were								いていた
	was	was	were	not							いていなかった
	get	gets	get								く
	do	does	do	not	get						かない
	got	got	got								いた
	did	did	did	not	get						かなかった
	am	is	are		getting						いてきている
	am	is	are	not	getting						いてきていない
	was	was	were		getting						いてきていた
	was	was	were	not	getting						いてきていなかった
step-2	am	is	are	going to	be						いている予定（よてい）だ
	am	is	are	not going to	be						いている予定（よてい）ではない
	am	is	are	going to	get						く予定（よてい）だ
	am	is	are	not going to	get						く予定（よてい）ではない
	was	was	were	going to	be						いている予定（よてい）だった
	was	was	were	not going to	be						いている予定（よてい）ではなかった
	was	was	were	going to	get						く予定（よてい）だった
	was	was	were	not going to	get						く予定（よてい）ではなかった
	am	is	are	able to	get						くことができる
	am	is	are	not able to	get						くことはできない
	was	was	were	able to	get						くことができた
	was	was	were	not able to	get						くことはできなかった
				could not	get						くことはできなかった
	am	is	are	supposed to	get						くことになっている
	am	is	are	not supposed to	get						いてはいけない
	was	was	were	supposed to	get						くことになっていた
	was	was	were	not supposed to	get						いてはいけなかった
	want	wants	want	to	be						いていたい
	do not want	does not want	do not want	to	be						いていたくない
	wanted	wanted	wanted	to	be						いていたかった
	did not want	did not want	did not want	to	be						いていたくなかった
	want	wants	want	to	get						きたい
	do not want	does not want	do not want	to	get						きたくない
	wanted	wanted	wanted	to	get						きたかった
	did not want	did not want	did not want	to	get						きたくなかった
	have	has	have	to	be						いていなければいけない
	do not have	does not have	do not have	to	be						いていなくてもいい
	had	had	had	to	be						いていなければいけなかった
	did not have	did not have	did not have	to	be						いていなくてもよかった
	have	has	have	to	get						かなければいけない
	do not have	does not have	do not have	to	get						かなくてもいい
	had	had	had	to	get						かなければいけなかった
	did not have	did not have	did not have	to	get						かなくてもよかった
step-3	will	will	will		be						いているだろう
	will	will	will	not	be						いていないだろう
	will	will	will		get						くだろう
	will	will	will	not	get						かないだろう
	will	will	will	be able to	get						くことができるだろう
	will	will	will	not be able to	get						くことができないだろう
	may	may	may		be						いているかもしれない
	may	may	may	not	be						いていないかもしれない
	may	may	may		get						くかもしれない
	may	may	may	not	get						かないかもしれない
	may	may	may	be able to	get						くことができるかもしれない
	may	may	may	not be able to	get						くことができないかもしれない
	can	can	can		be						いている可能性（かのうせい）がある
	can	can	can	not	be						いている可能性（かのうせい）はない
	can	can	can		get						くことができる
	can	can	can	not	get						くことはできない
	should	should	should		be						いているほうがいい
	should	should	should	not	be						いていないほうがいい
	should	should	should		get						くほうがいい
	should	should	should	not	get						かないほうがいい
	should	should	should		be						いているはずだ
	should	should	should	not	be						いているはずではない
	should	should	should		get						くはずだ
	should	should	should	not	get						かないはずだ
	should	should	should	be able to	get						くことができるはずだ
	should	should	should	not be able to	get						くことができるはずがない
	must	must	must		be						いているにちがいない
	must	must	must	not	be						いていてはいけない
	must	must	must		get						くにちがいない
	must	must	must	not	get						いてはいけない
	must	must	must	be able to	get						くことができるにちがいない
	must	must	must	not be able to	get						くことができないはずだ
	had better	had better	had better		be						いているべきだ
	had better	had better	had better	not	be						いているべきではない
	had better	had better	had better		get						くべきだ
	had better	had better	had better	not	get						くべきではない
	will have	will have	will have	to	be						いていなければいけないだろう
	will not have	will not have	will not have	to	be						いていなくてもいいだろう
	will have	will have	will have	to	get						かなければいけないだろう
	will not have	will not have	will not have	to	get						かなくてもいいだろう
	will have	will have	will have	to be able to	get						くことができなければいけないだろう
	will not have	will not have	will not have	to be able to	get						くことができなくてもいいだろう
	may have	may have	may have	to	be						いていなければいけないかもしれない
	may not have	may not have	may not have	to	be						いていなくてもいいかもしれない
	may have	may have	may have	to	get						かなければいけないかもしれない
	may not have	may not have	may not have	to	get						かなくてもいいかもしれない
	may have	may have	may have	to be able to	get						くことができなければいけないかもしれない
	may not have	may not have	may not have	to be able to	get						くことができなくてもいいかもしれない
step-4	have	has	have		been				（ずっと）	形容詞	いている
	have	has	have	not	been				（ずっと）	形容詞	いていない
	have	has	have		been						いていたことがある
	have	has	have	not	been						いていたことはない
	have	has	have		gotten						いたことがある
	have	has	have	not	gotten						いたことはない
	had	had	had		been		till then		それまでずっと	形容詞	いていた
	had	had	had	not	been		till then		それまでずっと	形容詞	いていなかった
	had	had	had		been		before that		それ以前（いぜん）	形容詞	いていたことがあった
	had	had	had	not	been		before that		それ以前（いぜん）	形容詞	いていたことはなかった
	had	had	had		gotten		before that		それ以前（いぜん）	形容詞	いたことがあった
	had	had	had	not	gotten		before that		それ以前（いぜん）	形容詞	いたことはなかった
