step-1	fly	flies	fly			to			へ	飛行機（ひこうき）で行（い）	く
	do	does	do	not	fly	to			へ	飛行機（ひこうき）で行（い）	か	ない
	flew	flew	flew			to			へ	飛行機（ひこうき）で行（い）	っ	た
	did	did	did	not	fly	to			へ	飛行機（ひこうき）で行（い）	か	なかった
	am	is	are		flying	to			へ	飛行機（ひこうき）で行（い）	っ	ている
	am	is	are	not	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていない
	was	was	were		flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていた
	was	was	were	not	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなかった
step-2	am	is	are	going to	fly	to			へ	飛行機（ひこうき）で行（い）	く	予定（よてい）だ
	am	is	are	not going to	fly	to			へ	飛行機（ひこうき）で行（い）	く	予定（よてい）ではない
	was	was	were	going to	fly	to			へ	飛行機（ひこうき）で行（い）	く	予定（よてい）だった
	was	was	were	not going to	fly	to			へ	飛行機（ひこうき）で行（い）	く	予定（よてい）ではなかった
	am	is	are	able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができる
	am	is	are	not able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできない
	was	was	were	able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができた
	was	was	were	not able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなかった
	could	could	could	not	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなかった
	want	wants	want	to	fly	to			へ	飛行機（ひこうき）で行（い）	き	たい
	do	does	do	not want to	fly	to			へ	飛行機（ひこうき）で行（い）	き	たくない
	wanted  	wanted  	wanted	to	fly	to			へ	飛行機（ひこうき）で行（い）	き	たかった
	did	did	did	not want to	fly	to			へ	飛行機（ひこうき）で行（い）	き	たくなかった
	want	wants	want	to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていたい
	do	does	do	not want to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていたくない
	wanted  	wanted  	wanted	to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていたかった
	did	did	did	not want to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていたくなかった
	want	wants	want	to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができるようになりたい
	do	does	do	not want to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできるようになりたくない
	wanted  	wanted  	wanted	to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができるようになりたかった
	did	did	did	not want to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできるようになりたくなかった
	have to	has to	have to		fly	to			へ	飛行機（ひこうき）で行（い）	か	なければいけない
	do	does	do	not have to	fly	to			へ	飛行機（ひこうき）で行（い）	か	なくてもいい
	have to	has to	have to	be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなければいけない
	do	does	do	not have to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなくてもいい
	have to	has to	have to	be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことができなければいけない
	do	does	do	not have to be able to	fly	to			へ	飛行機（ひこうき）で行（い）	く	ことはできなくてもいい
	had to	had to	had to		fly	to			へ	飛行機（ひこうき）で行（い）	か	なければいけなかった
	did	did	did	not have to	fly	to			へ	飛行機（ひこうき）で行（い）	か	なくてもよかった
	had to	had to	had to	be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなければいけなかった
	did	did	did	not have to be	flying	to			へ	飛行機（ひこうき）で行（い）	っ	ていなくてもよかった
